Date,Open,High,Low,Close,Volume
29-Oct-08,26.8,29.2,26.71,28.22,3429400
28-Oct-08,24.3,27.14,23.67,27.06,2963700
27-Oct-08,21.88,24.5,21.11,23.18,2392000
24-Oct-08,18.38,23.21,18.3,22.13,3278900
23-Oct-08,20.29,20.74,19.17,20.44,2725600
22-Oct-08,21.5,21.55,19.12,20.06,7184800
21-Oct-08,19.92,20.99,18.65,18.73,1436600
20-Oct-08,21.59,21.86,19.3,20.64,1805600
17-Oct-08,20.03,21.67,19.39,20.69,1543300
16-Oct-08,20,20.75,18.55,19.89,1384900
15-Oct-08,20.87,21.3,19.56,19.97,1880300
14-Oct-08,24.65,25.49,21.3,21.33,1639400
13-Oct-08,23.49,24.43,22.1,24,1495400
10-Oct-08,19.01,22.38,18.74,21.03,3403100
9-Oct-08,21.4,21.5,19.42,20.45,1614600
8-Oct-08,19.98,21.96,18.5,20.41,3453500
7-Oct-08,21.76,23.64,20.31,20.81,2640700
6-Oct-08,20.98,21.98,20.57,21.65,2891600
3-Oct-08,25,25,22.57,22.57,2941400
2-Oct-08,25.09,25.8,24.07,24.12,1956100
1-Oct-08,26.26,27.13,25.6,25.83,1065500
30-Sep-08,25.71,26.71,25.7,26.64,1291500
29-Sep-08,28.26,28.46,23.68,26,2796900
26-Sep-08,29.56,30.5,27.81,29.04,2007500
25-Sep-08,29,31.08,28.07,30.9,1652300
24-Sep-08,29,31.43,28.66,28.97,1487700
23-Sep-08,28.77,30.12,28.3,28.78,2182800
22-Sep-08,30.05,30.07,28.03,28.58,2200200
